 Lat,Lon,Cat-0[Clim],Cat-0[ANLG],Cat-1[Clim],Cat-1[ANLG],Cat-2[Clim],Cat-2[ANLG],Cat-3[Clim],Cat-3[ANLG]
16.9,43,0.0009,0.0005,0,0,0,0,,
12.3,43.1,0.0005,0.0006,0.0001,0.0001,0,0.0001,,
12.4,43.1,0.0012,0.0013,0.0002,0.0003,0.0001,0.0002,,
12.5,43.1,0.0017,0.0017,0.0002,0.0004,0.0001,0.0002,,
12.6,43.1,0.0022,0.003,0.0002,0.0005,0.0001,0.0003,,
12.7,43.1,0.0039,0.0034,0.0005,0.0005,0.0001,0.0003,,
12.8,43.1,0.0046,0.0044,0.0008,0.0005,0.0002,0.0003,,
12.9,43.1,0.0063,0.0053,0.0009,0.0005,0.0002,0.0003,,
13,43.1,0.007,0.0063,0.0011,0.0006,0.0003,0.0003,,
13.1,43.1,0.0077,0.0065,0.0012,0.0005,0.0002,0.0002,,
13.2,43.1,0.0089,0.0074,0.001,0.0007,0.0002,0.0002,,
13.3,43.1,0.01,0.008,0.0009,0.0007,0.0002,0.0002,,
13.4,43.1,0.0115,0.0094,0.0009,0.0007,0.0002,0.0002,,
13.5,43.1,0.0123,0.011,0.0007,0.0007,0.0002,0.0001,,
13.6,43.1,0.0128,0.0122,0.0007,0.0007,0.0002,0.0001,,
13.7,43.1,0.013,0.0136,0.0006,0.0009,0.0002,0.0001,,
13.8,43.1,0.0128,0.0146,0.0007,0.0011,0.0002,0.0001,,
13.9,43.1,0.0133,0.0155,0.0007,0.0012,0.0001,0.0001,,
14,43.1,0.0134,0.0167,0.0007,0.0012,0.0001,0.0001,,
14.1,43.1,0.0135,0.0166,0.0008,0.0009,0.0001,0.0001,,
14.2,43.1,0.0147,0.0178,0.001,0.0007,0.0002,0,,
14.3,43.1,0.0164,0.021,0.0011,0.0008,0.0002,0,,
14.4,43.1,0.0166,0.0217,0.001,0.0007,0.0002,0,,
14.5,43.1,0.0177,0.023,0.0009,0.0007,0.0002,0,,
14.6,43.1,0.0184,0.0231,0.0009,0.0007,0.0002,0,,
14.7,43.1,0.0193,0.0263,0.0009,0.0007,0.0002,0,,
14.8,43.1,0.0203,0.0273,0.0009,0.0006,0.0001,0,,
14.9,43.1,0.0207,0.0294,0.0009,0.0005,0.0001,0,,
15,43.1,0.0216,0.0321,0.0007,0.0006,0.0001,0,,
15.1,43.1,0.0216,0.0332,0.0006,0.0006,0,0,,
15.2,43.1,0.0216,0.0343,0.0005,0.0007,0,0.0002,,
15.3,43.1,0.0231,0.0358,0.0006,0.0011,0,0.0002,,
15.4,43.1,0.0227,0.0357,0.0005,0.0011,0,0.0002,,
15.5,43.1,0.0223,0.0361,0.0005,0.0013,0,0.0002,,
15.6,43.1,0.0216,0.0331,0.0006,0.0012,0,0.0002,,
15.7,43.1,0.0198,0.0323,0.0004,0.0012,0,0.0002,,
15.8,43.1,0.0196,0.0304,0.0003,0.0011,0,0.0002,,
15.9,43.1,0.0179,0.0286,0.0003,0.0012,0,0.0002,,
16,43.1,0.0172,0.0259,0.0002,0.0011,0,0.0002,,
16.1,43.1,0.0161,0.0229,0.0002,0.0009,0,0.0001,,
16.2,43.1,0.0139,0.0178,0.0001,0.0005,0,0,,
16.3,43.1,0.012,0.0151,0.0001,0.0004,0,0,,
16.4,43.1,0.0105,0.0133,0.0001,0.0004,0,0,,
16.5,43.1,0.0086,0.0112,0,0.0003,0,0,,
16.6,43.1,0.0073,0.0084,0,0.0002,0,0,,
16.7,43.1,0.0044,0.0063,0,0.0002,0,0,,
16.8,43.1,0.003,0.0032,0,0,0,0,,
16.9,43.1,0.0009,0.0016,0,0,0,0,,
12.2,43.2,0.0004,0.0002,0,0.0001,0,0.0001,,
12.3,43.2,0.0007,0.001,0.0001,0.0001,0,0.0001,,
12.4,43.2,0.0021,0.0017,0.0002,0.0003,0.0001,0.0002,,
12.5,43.2,0.0028,0.003,0.0002,0.0004,0.0001,0.0002,,
12.6,43.2,0.004,0.0037,0.0004,0.0007,0.0001,0.0003,,
12.7,43.2,0.0061,0.0051,0.0009,0.0006,0.0002,0.0004,,
12.8,43.2,0.0071,0.006,0.001,0.0007,0.0002,0.0005,,
12.9,43.2,0.0084,0.0067,0.0011,0.0007,0.0002,0.0005,,
13,43.2,0.0105,0.0081,0.0013,0.0008,0.0004,0.0005,,
13.1,43.2,0.0109,0.0095,0.0015,0.0007,0.0005,0.0003,,
13.2,43.2,0.0127,0.0108,0.0013,0.0009,0.0004,0.0003,,
13.3,43.2,0.0137,0.0114,0.0012,0.001,0.0003,0.0004,,
13.4,43.2,0.0142,0.0126,0.0012,0.0008,0.0002,0.0002,,
